"ID";"Geslacht";"Leeftijd";"RegioS";"Perioden";"TotaalNieuwvormingen_8";"TotaalEndocrieneVoedingsStofwZ_32";"TotaalPsychischeStoornissen_35";"TotaalZiektenVanHartEnVaatstelsel_43";"TotaalZiektenVanDeKransvaten_44";"k_711AcuutHartinfarct_45";"k_712OverigeZiektenVanDeKransvaten_46";"k_72OverigeHartziekten_47";"TotaalZiektenVanDeAdemhalingsorganen_50";"k_81Griep_51";"k_82Longontsteking_52";"TotaalChronischeAandOndersteLucht_53";"k_831Astma_54";"k_832OvChronAandOndersteLuchtw_55";"k_84OverigeZiektenAdemhalingsorganen_56";"TotaalZiektenSpierenBeendBindwfsl_64";"k_111ReumatoideArtritisEnArtrose_65";"k_112OvZktnSpierenBeendBindwfsl_66"
"26";"T001038";"10000";"NL01  ";"2022JJ00";"   47592";"    3928";"   13037";"   39043";"    8311";"    4987";"    3324";"   14077";"   12961";"     602";"    3518";"    6862";"     150";"    6712";"    1979";"    1307";"     417";"     890"
"27";"T001038";"10000";"NL01  ";"2023JJ00";"   47389";"    3786";"   13985";"   38806";"    8123";"    4961";"    3162";"   13836";"   14050";"     618";"    4346";"    7002";"     214";"    6788";"    2084";"    1342";"     462";"     880"
"28";"T001038";"10000";"NL01  ";"2024JJ00";"   47473";"    3635";"   14758";"   38089";"    7919";"    4812";"    3107";"   13445";"   15221";"     865";"    4846";"    7377";"     241";"    7136";"    2133";"    1317";"     438";"     879"
"55";"T001038";"10000";"LD01  ";"2022JJ00";"    5514";"     475";"    1463";"    4611";"    1006";"     591";"     415";"    1730";"    1337";"      67";"     350";"     688";"      21";"     667";"     232";"     138";"      39";"      99"
"56";"T001038";"10000";"LD01  ";"2023JJ00";"    5282";"     432";"    1514";"    4536";"     985";"     572";"     413";"    1640";"    1616";"      68";"     486";"     810";"      26";"     784";"     252";"     148";"      54";"      94"
"57";"T001038";"10000";"LD01  ";"2024JJ00";"    5558";"     452";"    1605";"    4519";"     956";"     567";"     389";"    1601";"    1696";"      86";"     564";"     836";"      35";"     801";"     210";"     134";"      51";"      83"
"84";"T001038";"10000";"LD02  ";"2022JJ00";"   10228";"     879";"    2942";"    8546";"    1807";"    1045";"     762";"    2968";"    2745";"     119";"     693";"    1522";"      40";"    1482";"     411";"     284";"     103";"     181"
"85";"T001038";"10000";"LD02  ";"2023JJ00";"   10190";"     834";"    3016";"    8346";"    1769";"    1098";"     671";"    2887";"    2934";"     106";"     901";"    1473";"      44";"    1429";"     454";"     277";"      89";"     188"
"86";"T001038";"10000";"LD02  ";"2024JJ00";"   10094";"     811";"    3168";"    8393";"    1754";"    1063";"     691";"    2856";"    3324";"     207";"    1011";"    1641";"      63";"    1578";"     465";"     284";"      85";"     199"
"113";"T001038";"10000";"LD03  ";"2022JJ00";"   20927";"    1783";"    5562";"   16771";"    3598";"    2180";"    1418";"    6004";"    5750";"     319";"    1636";"    2919";"      64";"    2855";"     876";"     597";"     186";"     411"
"114";"T001038";"10000";"LD03  ";"2023JJ00";"   20910";"    1741";"    6032";"   16591";"    3500";"    2148";"    1352";"    5921";"    6034";"     294";"    1947";"    2938";"     108";"    2830";"     855";"     642";"     228";"     414"
"115";"T001038";"10000";"LD03  ";"2024JJ00";"   20920";"    1665";"    6461";"   16111";"    3452";"    2127";"    1325";"    5685";"    6445";"     371";"    2064";"    3082";"     101";"    2981";"     928";"     597";"     208";"     389"
"142";"T001038";"10000";"LD04  ";"2022JJ00";"   10923";"     791";"    3070";"    9115";"    1900";"    1171";"     729";"    3375";"    3129";"      97";"     839";"    1733";"      25";"    1708";"     460";"     288";"      89";"     199"
"143";"T001038";"10000";"LD04  ";"2023JJ00";"   11007";"     779";"    3423";"    9333";"    1869";"    1143";"     726";"    3388";"    3466";"     150";"    1012";"    1781";"      36";"    1745";"     523";"     275";"      91";"     184"
