#export;EXP-2025-001 (2025-12-11T13:28:26+01:00)
#bron;https://data.rivm.nl/data/luchtmeetnet
#beschrijving data;https://data.rivm.nl/data/luchtmeetnet/readme.pdf
#
#
meetlocatie_id;bron_id;meetlocatie_naam;meetlocatie_plaatsnaam;breedtegraad;lengtegraad;hoogte;meetlocatie_begindatumtijd;meetlocatie_einddatumtijd
NL10533;LML;Aalsmeer;Aalsmeer;52.278999;4.793000;-3.000;1976-04-03T00:00:00+01:00;1986-04-01T00:00:00+01:00
NL233AA;PBP_SM;Aardenburg;Zeeland;51.270960;3.454770;9.000;2019-01-01T00:00:00+01:00;
NL10601;LML;Abcoude;Abcoude;52.255001;4.952000;0.000;1976-04-03T00:00:00+01:00;1985-01-01T00:00:00+01:00
NL10101;LML;Afferden;Afferden;51.632000;6.014000;16.000;1976-01-03T00:00:00+01:00;1993-12-31T00:00:00+01:00
NL01908;DCMR;Alblasserdam-De Helling;Alblasserdam;51.857928;4.660089;7.000;2013-12-21T00:00:00+01:00;
NL49680;GGDA;Almere-Boomgaardweg;Almere;52.373572;5.239257;0.000;2024-04-22T00:00:00+01:00;
NL10534;LML;Amsterdam-534;Amsterdam;52.393002;4.925000;0.000;1983-04-16T00:00:00+01:00;1986-04-01T00:00:00+01:00
NL10535;LML;Amsterdam-535;Amsterdam;52.390999;4.944000;-1.000;1983-03-03T00:00:00+01:00;1986-04-01T00:00:00+01:00
NL10545;LML;Amsterdam-A10 west;Amsterdam;52.339498;4.841021;-1.000;2007-04-01T00:00:00+01:00;2017-05-10T00:00:00+01:00
NL49018;GGDA;Amsterdam-A10zuid;Amsterdam;52.333992;4.897756;8.000;2004-01-01T00:00:00+01:00;2009-02-01T00:00:00+01:00
NL10518;LML;Amsterdam-Cabeliaustraat;Amsterdam;52.384998;4.804000;6.000;1976-04-03T00:00:00+01:00;2004-06-01T00:00:00+01:00
NL10521;LML;Amsterdam-Centrum-21;Amsterdam;52.372002;4.896000;0.000;1976-04-03T00:00:00+01:00;1986-04-01T00:00:00+01:00
NL49007;GGDA;Amsterdam-Einsteinweg;Amsterdam;52.381331;4.845233;2.000;1998-01-01T00:00:00+01:00;
NL10520;LML;Amsterdam-Florapark;Amsterdam;52.390930;4.917294;9.000;1976-04-03T00:00:00+01:00;2013-01-03T00:00:00+01:00
NL49002;GGDA;Amsterdam-Haarlemmerweg;Amsterdam;52.385422;4.875750;1.000;1998-01-01T00:00:00+01:00;
NL49704;GGDA;Amsterdam-Hoogtij;Amsterdam;52.428063;4.773219;1.000;2009-01-01T00:00:00+01:00;
NL49020;GGDA;Amsterdam-Jan van Galenstraat;Amsterdam;52.374786;4.860319;1.000;2007-01-01T00:00:00+01:00;
NL49021;GGDA;Amsterdam-Kantershof (Zuid Oost);Amsterdam;52.320692;4.988397;0.000;2007-01-01T00:00:00+01:00;
NL49003;GGDA;Amsterdam-Nieuwendammerdijk;Amsterdam;52.389314;4.943822;4.000;1998-01-01T00:00:00+01:00;
NL10516;LML;Amsterdam-Noord-16;Amsterdam;52.410999;4.889000;6.000;1976-04-03T00:00:00+01:00;1986-04-01T00:00:00+01:00
NL10523;LML;Amsterdam-Oost;Amsterdam;52.351002;4.925000;-3.000;1976-04-03T00:00:00+01:00;1986-04-01T00:00:00+01:00
NL49019;GGDA;Amsterdam-Oude Schans;Amsterdam;52.372056;4.904400;6.000;2007-01-01T00:00:00+01:00;
